Date,Open,High,Low,Close,Currency
2010-01-01,1.7425,1.7425,1.7425,1.7425,BRL
2010-01-04,1.7288,1.7338,1.7168,1.7212,BRL
2010-01-05,1.7183,1.7388,1.7143,1.73,BRL
2010-01-06,1.7293,1.739,1.7243,1.7322,BRL
2010-01-07,1.73,1.7508,1.7305,1.7455,BRL
2010-01-08,1.7456,1.7517,1.7218,1.7257,BRL
2010-01-11,1.7255,1.7385,1.7148,1.735,BRL
2010-01-12,1.733,1.7496,1.7318,1.747,BRL
2010-01-13,1.7457,1.7612,1.7338,1.7565,BRL
2010-01-14,1.7565,1.773,1.749,1.7575,BRL
2010-01-15,1.7575,1.7737,1.7558,1.7712,BRL
2010-01-18,1.7705,1.7782,1.7588,1.7595,BRL
2010-01-19,1.7595,1.7812,1.76,1.7706,BRL
2010-01-20,1.7694,1.7946,1.7695,1.7885,BRL
2010-01-21,1.7875,1.8087,1.781,1.8025,BRL
2010-01-22,1.8025,1.8326,1.7858,1.8157,BRL
2010-01-25,1.8145,1.8235,1.809,1.8205,BRL
2010-01-26,1.8155,1.8495,1.8131,1.835,BRL
2010-01-27,1.8355,1.8695,1.8303,1.852,BRL
2010-01-28,1.857,1.878,1.8436,1.869,BRL
2010-01-29,1.869,1.8968,1.8475,1.8847,BRL
2010-02-01,1.868,1.8975,1.8463,1.8565,BRL
2010-02-02,1.8462,1.8485,1.824,1.8292,BRL
2010-02-03,1.8292,1.8567,1.8095,1.85,BRL
2010-02-04,1.8405,1.8975,1.8415,1.8734,BRL
2010-02-05,1.8795,1.894,1.8612,1.881,BRL
2010-02-08,1.881,1.889,1.851,1.875,BRL
2010-02-09,1.8696,1.8825,1.8392,1.8465,BRL
2010-02-10,1.8465,1.864,1.831,1.856,BRL
2010-02-11,1.8485,1.8626,1.8385,1.8525,BRL
2010-02-12,1.8525,1.873,1.8455,1.8457,BRL
2010-02-15,1.861,1.861,1.8538,1.8535,BRL
2010-02-16,1.8535,1.8589,1.8371,1.8357,BRL
2010-02-17,1.8385,1.8545,1.8255,1.8321,BRL
2010-02-18,1.832,1.843,1.8071,1.8265,BRL
2010-02-19,1.8215,1.8246,1.7923,1.8035,BRL
2010-02-22,1.7983,1.8121,1.7878,1.811,BRL
2010-02-23,1.8115,1.8305,1.804,1.825,BRL
2010-02-24,1.825,1.8275,1.8163,1.8245,BRL
2010-02-25,1.8244,1.8406,1.8146,1.823,BRL
2010-02-26,1.8236,1.8327,1.7985,1.8067,BRL
2010-03-01,1.8058,1.8137,1.7936,1.7955,BRL
2010-03-02,1.7955,1.7967,1.7799,1.7917,BRL
2010-03-03,1.7917,1.7939,1.774,1.7897,BRL
2010-03-04,1.7895,1.7948,1.782,1.7878,BRL
2010-03-05,1.7876,1.7905,1.7761,1.7777,BRL
2010-03-08,1.7771,1.791,1.7706,1.787,BRL
2010-03-09,1.7875,1.801,1.7752,1.7749,BRL
2010-03-10,1.7751,1.7815,1.7653,1.7682,BRL
2010-03-11,1.7682,1.7751,1.7634,1.7636,BRL
2010-03-12,1.7637,1.769,1.7567,1.762,BRL
2010-03-15,1.7631,1.7685,1.76,1.7628,BRL
2010-03-16,1.7626,1.7699,1.7582,1.7662,BRL
2010-03-17,1.7662,1.7683,1.7583,1.7662,BRL
2010-03-18,1.768,1.792,1.7666,1.7898,BRL
2010-03-19,1.7903,1.8025,1.7839,1.8004,BRL
